airline,arrival_time,base_fare,booking_method,booking_url,collected_at,currency,departure_time,destination,fare_amount,flight_numbers,imported_at,offer_id,origin,requested_destination,requested_origin,source,stops,tax_amount,total_duration_minutes,travel_date
Star Air,2026-09-08 08:10,,,,2026-09-07T17:47:51.397036+00:00,INR,2026-09-08 06:55,IXX,6400.0,S5 159,,,BLR,IXX,BLR,Google Flights via SerpApi,0,,75,2026-09-08
Star Air,2026-09-08 09:00,,,,2026-09-07T17:47:56.304351+00:00,INR,2026-09-08 07:30,NDC,6837.0,S5 183,,,BLR,NDC,BLR,Google Flights via SerpApi,0,,90,2026-09-08
Star Air,2026-09-08 11:15,,,,2026-09-07T17:48:18.675890+00:00,INR,2026-09-08 10:25,VDY,9005.0,S5 701,,,BLR,VDY,BLR,Google Flights via SerpApi,0,,50,2026-09-08
IndiGo,2026-09-08 21:20,,,,2026-09-07T17:48:24.995641+00:00,INR,2026-09-08 20:00,AMD,9464.0,6E 5107,,,BOM,AMD,BOM,Google Flights via SerpApi,0,,80,2026-09-08
IndiGo,2026-09-08 03:05,,,,2026-09-07T17:48:34.720865+00:00,INR,2026-09-08 01:10,BLR,4945.0,6E 5323,,,BOM,BLR,BOM,Google Flights via SerpApi,0,,115,2026-09-08
IndiGo,2026-09-14 22:45,,SerpApi Google Flights,,2026-09-07T17:23:36.132075+00:00,INR,2026-09-14 12:55,GOX,25153.0,"6E 7272, 6E 6526",2026-09-07T17:23:37.997085+00:00,,AGX,GOX,AGX,Google Flights,1,,590,2026-09-14
IndiGo,2026-09-14 16:45,,SerpApi Google Flights,,2026-09-07T17:23:40.105141+00:00,INR,2026-09-14 15:55,GAU,3722.0,6E 6552,2026-09-07T17:23:41.568240+00:00,,AJL,GAU,AJL,Google Flights,0,,50,2026-09-14
Alliance Air,2026-09-14 12:55,,SerpApi Google Flights,,2026-09-07T17:23:43.645864+00:00,INR,2026-09-14 11:55,SHL,2227.0,9I 785,2026-09-07T17:23:48.277481+00:00,,AJL,SHL,AJL,Google Flights,0,,60,2026-09-14
Air India,2026-09-14 21:50,,SerpApi Google Flights,,2026-09-07T17:23:50.347475+00:00,INR,2026-09-14 08:45,BLR,6340.0,"AI 494, AI 2865",2026-09-07T17:23:52.387215+00:00,,AMD,BLR,AMD,Google Flights,1,,785,2026-09-14
IndiGo,2026-09-14 05:30,,SerpApi Google Flights,,2026-09-07T17:23:54.478447+00:00,INR,2026-09-14 04:00,BOM,3693.0,6E 6285,2026-09-07T17:23:56.189991+00:00,,AMD,BOM,AMD,Google Flights,0,,90,2026-09-14
IndiGo,2026-09-15 00:40,,SerpApi Google Flights,,2026-09-07T17:23:58.268759+00:00,INR,2026-09-14 22:00,CCU,7034.0,6E 319,2026-09-07T17:23:59.694077+00:00,,AMD,CCU,AMD,Google Flights,0,,160,2026-09-14
Air India,2026-09-14 21:55,,SerpApi Google Flights,,2026-09-07T17:24:01.768076+00:00,INR,2026-09-14 20:10,DEL,5803.0,AI 1121,2026-09-07T17:24:05.441407+00:00,,AMD,DEL,AMD,Google Flights,0,,105,2026-09-14
Akasa Air,2026-09-14 13:15,,SerpApi Google Flights,,2026-09-07T17:24:07.521448+00:00,INR,2026-09-14 04:50,IXB,9175.0,"QP 1194, QP 1131",2026-09-07T17:24:11.766673+00:00,,AMD,IXB,AMD,Google Flights,1,,505,2026-09-14
Alliance Air,2026-09-14 19:35,,SerpApi Google Flights,,2026-09-07T17:24:13.847213+00:00,INR,2026-09-14 18:15,JLG,1890.0,9I 609,2026-09-07T17:24:18.591992+00:00,,AMD,JLG,AMD,Google Flights,0,,80,2026-09-14
IndiGo,2026-09-14 07:20,,SerpApi Google Flights,,2026-09-07T17:24:20.668471+00:00,INR,2026-09-14 02:40,MAA,7729.0,"6E 699, 6E 159",2026-09-07T17:24:24.093918+00:00,,AMD,MAA,AMD,Google Flights,1,,280,2026-09-14
